Geo Point;Geo Shape;annee;borne_eau;eclairage;id_ajeu;nom;nom_voie;notes;numero;photo;sev;echelle;espace_publique;numsite;nuquart;nusect;objectid
48.1234572372, -1.66085941268;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.660856122238175, 48.123393635163424], [-1.660963842013442, 48.12332999974026], [-1.661047767577938, 48.123383231934284], [-1.660754538443961, 48.12358932538802], [-1.660669146682624, 48.123532722061384], [-1.660752697367877, 48.12348017437882], [-1.660804292317458, 48.123444201826594], [-1.660801506449144, 48.123432321612334], [-1.660856122238175, 48.123393635163424]]]]}";0;;;23;JARDIN DU PETIT PRINCE;;;0261AJEUX02;;Equipe 11;500;OUI;0261;5;11;310
48.1239913803, -1.64571192003;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.645647371793317, 48.12402722245712], [-1.645640729645538, 48.12401943446783], [-1.645636059604629, 48.124011039705834], [-1.645632925405797, 48.12400160256532], [-1.645632654664902, 48.123992698517995], [-1.645634166441885, 48.123982472714594], [-1.645637470434684, 48.12397461726391], [-1.645645307170299, 48.123964447741535], [-1.645644485764148, 48.12396069380945], [-1.6456570845396, 48.12395126271846], [-1.645669425925801, 48.12394553182024], [-1.645680166048101, 48.12394174518972], [-1.645689794519132, 48.12393925772206], [-1.645700000094344, 48.12393729027534], [-1.64571393624337, 48.12393663724401], [-1.645725828200373, 48.12393740394041], [-1.64573791641319, 48.12393897455377], [-1.645737147269426, 48.123941251938675], [-1.645746565521131, 48.123943092589144], [-1.645755401987447, 48.12394612359848], [-1.645767110809793, 48.12395157864063], [-1.645775439733444, 48.123956788163774], [-1.645782762765595, 48.12396293215943], [-1.645787356515473, 48.12396853854649], [-1.645791789825756, 48.123975590390366], [-1.645796073018842, 48.12398597947817], [-1.645796864911948, 48.1239928855721], [-1.645796096041617, 48.124002274930604], [-1.64579111278305, 48.12401459894486], [-1.645784092536463, 48.124023120816005], [-1.64576707226306, 48.12401856692403], [-1.645758937322493, 48.12402478478391], [-1.645747186612986, 48.12403121627557], [-1.645740241592806, 48.124033613374536], [-1.645731523982321, 48.12403570994054], [-1.645726856335963, 48.12403622826661], [-1.645731517112607, 48.12404804468476], [-1.645727419903612, 48.124048994097876], [-1.645708238970158, 48.124049645434454], [-1.645695078767728, 48.124048111810616], [-1.645685398820178, 48.12404636912775], [-1.645673268024126, 48.12404245930151], [-1.645662089135254, 48.12403689634327], [-1.645647371793317, 48.12402722245712]]]]}";0;;;322;SQUARE DE LA GRANDE CHARBONNIERE;;;0233AJEUX02;;Equipe 22;500;OUI;0233;6;22;153
48.1275505108, -1.66372534798;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.663627030226414, 48.127658284189884], [-1.663642856318769, 48.12764531957967], [-1.663639024521321, 48.12762501184005], [-1.663626094344221, 48.12760177332125], [-1.663609498059344, 48.12758514225742], [-1.663589322438265, 48.12757097475132], [-1.663573275171868, 48.12756332843257], [-1.6635940400293, 48.12754281272101], [-1.663572883161502, 48.127531649490834], [-1.663555076628752, 48.127518570818246], [-1.663538969652834, 48.12750129276769], [-1.663529586555685, 48.127487567096345], [-1.663523121454113, 48.12747329150375], [-1.663518972651038, 48.12745587640735], [-1.663515196675119, 48.12745573485981], [-1.663514627199153, 48.12743234476965], [-1.663824059850131, 48.12742674447603], [-1.663824872352307, 48.127471014028], [-1.663873292923833, 48.12747107352648], [-1.66387123721695, 48.12748825092376], [-1.663863688303427, 48.127505705126914], [-1.663853600794471, 48.12751982471557], [-1.663876271672899, 48.12753498759013], [-1.663896662994316, 48.12755022937839], [-1.663906989464298, 48.12756221196256], [-1.663916810485233, 48.127578173405446], [-1.663922229386228, 48.127592844619244], [-1.663921550666116, 48.12761042482225], [-1.663918805016237, 48.12762384393568], [-1.663915491371213, 48.127633320508195], [-1.66391313863132, 48.12763952330545], [-1.663903171472961, 48.12763932285088], [-1.663891597006109, 48.12764097888047], [-1.663790096287426, 48.12766622896757], [-1.663779620997927, 48.12767171858514], [-1.663777193649578, 48.12767693323631], [-1.663777670835234, 48.127683219516314], [-1.663659201224741, 48.127713460099926], [-1.663627030226414, 48.127658284189884]]]]}";0;;;16;ALLEE DE BRNO;;;0254AJEUX01;;Equipe 11;500;OUI;0254;5;11;87
48.1090332379, -1.71147092473;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.711459604958768, 48.108892514028526], [-1.711478893407627, 48.10888809218716], [-1.711496510246135, 48.10891659381625], [-1.711504120984392, 48.1089426237667], [-1.711512915567146, 48.108965794676266], [-1.711516186687929, 48.108990096634095], [-1.711527561528521, 48.10901036209204], [-1.711548334155147, 48.109043449845984], [-1.711568099892313, 48.10906342551517], [-1.711590228199317, 48.10907768601183], [-1.711624304554059, 48.10910299274876], [-1.711579151659317, 48.10912431944795], [-1.711576235218093, 48.109124870588076], [-1.711573461107643, 48.10912550690654], [-1.711568583448094, 48.109126755668576], [-1.711563718171133, 48.10912818414277], [-1.711553615357666, 48.109131414081695], [-1.711543170570742, 48.109135466319266], [-1.711532372767537, 48.10914016108806], [-1.711526201849113, 48.10914208460283], [-1.711519890021912, 48.1091439237816], [-1.711510783415233, 48.10914612889305], [-1.711504966850798, 48.10914740981963], [-1.711499396700578, 48.10914841302178], [-1.711493807224011, 48.109149145784805], [-1.711488470941347, 48.109149689754446], [-1.711482845898503, 48.10914997432599], [-1.711476804746249, 48.109150093025626], [-1.711465444876647, 48.109149224907625], [-1.711460126077512, 48.10914823719229], [-1.711454912703078, 48.10914688651921], [-1.711452429852557, 48.109146071844236], [-1.71144504689785, 48.109142725834175], [-1.711440824217289, 48.109140260453735], [-1.711435142346938, 48.109136314889724], [-1.71143154219917, 48.10913319683391], [-1.711426306388516, 48.109128066067704], [-1.711422918349662, 48.109124221144], [-1.711418122914123, 48.10911781349654], [-1.711415082371559, 48.10911323615709], [-1.711409297559888, 48.10909920971059], [-1.71140784463838, 48.10909430779723], [-1.71140650526168, 48.10908913180243], [-1.711405427281123, 48.10908385678849], [-1.711404462845304, 48.10907830769312], [-1.711403701639432, 48.109068429500255], [-1.711403505164362, 48.109064114078485], [-1.711403200665731, 48.10906016262177], [-1.711402762038601, 48.109056215760276], [-1.71140208402236, 48.10905263824688], [-1.711401270455204, 48.10904906448588], [-1.711400351545507, 48.10904585458007], [-1.711399298507411, 48.10904264926944], [-1.711396879325596, 48.10903742110501], [-1.711394107046623, 48.109032834574535], [-1.711391874298203, 48.10903002993544], [-1.711388640980794, 48.10902644990166], [-1.711385139406909, 48.109022879058145], [-1.711376922325314, 48.109015689796266], [-1.711372201214926, 48.10901198059643], [-1.711361817580381, 48.109004596267525], [-1.711356150793997, 48.10900083030206], [-1.71135238532255, 48.10899906886504], [-1.711348781506788, 48.108997663045464], [-1.711345473310989, 48.10899660645274], [-1.711340422868675, 48.108995610439315], [-1.711331158249452, 48.108993935572606], [-1.711337943907044, 48.10898779856958], [-1.711356368479745, 48.10897213850097], [-1.71137575794939, 48.1089508106255], [-1.711403610394507, 48.108930129863374], [-1.711435587523003, 48.10890836815919], [-1.711459604958768, 48.108892514028526]]]]}";0;;;52;OPHLM RUE YANN PALACH;;;0202AJEUX01;;Equipe 26;500;OUI;0202;3;26;355
48.0840537179, -1.65947466915;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.6592988657923, 48.08401867302003], [-1.659238999702256, 48.08401954403613], [-1.659225137600032, 48.08402812012963], [-1.659225661607942, 48.08397128754514], [-1.659233646762258, 48.08397911935722], [-1.659243407552903, 48.08398202783742], [-1.659256727195026, 48.08398400449812], [-1.659495315260175, 48.08398316341911], [-1.659506188877612, 48.08397063744027], [-1.659517537851467, 48.08395728483091], [-1.659535855509794, 48.08394369472487], [-1.659566555744799, 48.083932113827835], [-1.659598632903777, 48.08392453729993], [-1.659612364985153, 48.083914254402615], [-1.659610281483616, 48.083904510945544], [-1.659604788169596, 48.083895875291084], [-1.659638590484915, 48.08390278553619], [-1.659613105924368, 48.08415673385744], [-1.659610234272031, 48.08415698094613], [-1.659582858852565, 48.08416277645302], [-1.659557761170652, 48.08416849401817], [-1.659531469194758, 48.084172631773164], [-1.659496548490921, 48.08417463333106], [-1.659462466264041, 48.0841717432324], [-1.659418702188468, 48.08415990971726], [-1.659376815273339, 48.084144500336286], [-1.659348872721927, 48.08412690546775], [-1.659330317538854, 48.08410727924211], [-1.659318049824978, 48.08408905966487], [-1.659306858812904, 48.08406909251666], [-1.659301706144849, 48.08404900940542], [-1.6592988657923, 48.08401867302003]]]]}";0;;;274;SQUARE DE SOFIA;;;0221AJEUX01;;Equipe 35;500;OUI;0221;11;35;292
48.0868825981, -1.65195458384;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.651881856180073, 48.08693220348161], [-1.651885056294698, 48.086830801931406], [-1.652027385035582, 48.08683280171304], [-1.652023816746959, 48.08693466600851], [-1.651881856180073, 48.08693220348161]]]]}";0;;;187;PLACE DE PRAGUE;;;0328AJEUX01;;Equipe 09;500;OUI;0328;11;9;273
48.1180994439, -1.70758255471;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.707620820692233, 48.118216341951886], [-1.707528465465576, 48.118207911974736], [-1.707445994386608, 48.11817762134839], [-1.707455310894313, 48.11816064270897], [-1.707463703380456, 48.118143875805615], [-1.707469545833859, 48.11812890824886], [-1.707473846929983, 48.11811489316931], [-1.707476720419467, 48.11810155828563], [-1.707477173731883, 48.11808821704695], [-1.70747692399907, 48.11808147266595], [-1.707475950966591, 48.118068810670664], [-1.70747416194442, 48.11805428617622], [-1.707472825282683, 48.11804739886243], [-1.707469096511691, 48.118032131074855], [-1.707461252142442, 48.11800881107965], [-1.70752408944474, 48.11799709983703], [-1.707531532231798, 48.11799945428264], [-1.707545254206286, 48.11800303307627], [-1.707566208065284, 48.11800798284047], [-1.707582705925008, 48.117993458541015], [-1.707593962825546, 48.117985956559906], [-1.707603476245768, 48.11798202760489], [-1.707614448913096, 48.11797957798048], [-1.707629414746793, 48.11797834175629], [-1.707643148755169, 48.11797858869891], [-1.707656450254498, 48.117980200482386], [-1.707667631621832, 48.11798395715866], [-1.707677350948024, 48.11798794309301], [-1.707686468157982, 48.11799285116643], [-1.707694791623546, 48.117999677724846], [-1.707701885867128, 48.118007986444475], [-1.707705633247192, 48.11801650066222], [-1.707707452041903, 48.118026162531336], [-1.707706587875142, 48.11803591711578], [-1.707703601726762, 48.118044303302796], [-1.70769748358756, 48.11805216801884], [-1.707686035058757, 48.11806066635571], [-1.70767316958653, 48.11806822248318], [-1.707661337480822, 48.11807349257958], [-1.707667716025885, 48.11808299751814], [-1.707677536741567, 48.11810228709774], [-1.707700537864846, 48.11814435291779], [-1.707701835968166, 48.118148989973214], [-1.70770160396961, 48.1181564713474], [-1.707698699744534, 48.118162423927785], [-1.707660143750822, 48.11820661239442], [-1.707652245640842, 48.11821057614781], [-1.707643078533254, 48.11821377365658], [-1.707636469729138, 48.11821526248541], [-1.707620820692233, 48.118216341951886]]]]}";0;;;80;CENTRE COMMERCIAL CHURCHILL;;;0357AJEUX01;http://web-bdu/PhotoJardin/thematique/aire_de_jeux/035701.jpg;Equipe 13;500;OUI;0357;10;13;247
48.0906665046, -1.64970102409;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.649822050675772, 48.090913694275], [-1.649578485639876, 48.09090955226281], [-1.649580080464458, 48.09085430512808], [-1.649656906768951, 48.09085547365623], [-1.649657487811053, 48.090786845360704], [-1.649537959589345, 48.09078613827356], [-1.649540896177003, 48.09073264618662], [-1.649469303039871, 48.0907065390513], [-1.649530666232761, 48.090634852760445], [-1.649445552085415, 48.090600562225056], [-1.649325056284383, 48.09056756410384], [-1.649291762860827, 48.09055915239687], [-1.649247937451024, 48.090562532654246], [-1.649230241490945, 48.090536483430405], [-1.649241751194006, 48.090519885311146], [-1.64927821883207, 48.09049388516697], [-1.649326766949134, 48.09045882997793], [-1.649339137175611, 48.09041456157871], [-1.649960003198355, 48.09054020921513], [-1.64996294395992, 48.09053821784135], [-1.6499427061827, 48.09059040775483], [-1.649939423864855, 48.090603844678], [-1.649940791335149, 48.090621896129726], [-1.650115256751146, 48.09082268857334], [-1.649987971480893, 48.090850877365625], [-1.649904075724675, 48.09086993819152], [-1.649901010701503, 48.09088624880741], [-1.649888303391517, 48.09090477865937], [-1.649870526074985, 48.090914927432664], [-1.649864461206265, 48.09090937087455], [-1.649846465223798, 48.09091664600369], [-1.649826844870267, 48.09092019428868], [-1.649822050675772, 48.090913694275]]]]}";0;;;191;GS LEON GRIMAULT;;;0331AJEUX01;http://web-bdu/PhotoJardin/thematique/aire_de_jeux/033101.jpg;Equipe 09;500;NON;0331;11;9;211
48.091536878, -1.64944319232;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.648990080213758, 48.09154262553634], [-1.649005725243787, 48.09153092954412], [-1.64902925751684, 48.091511581718386], [-1.649064270582259, 48.09149832560784], [-1.649096755401787, 48.09148893817188], [-1.649129723287857, 48.091485925995286], [-1.649150568572969, 48.091486117241864], [-1.64922129077593, 48.09150604253697], [-1.649242987029681, 48.09149972254054], [-1.649276933431168, 48.09150964237316], [-1.649315321310911, 48.09152319311169], [-1.649344698164246, 48.09152777698206], [-1.6493792152159, 48.091525702244276], [-1.649417399916576, 48.091518821565394], [-1.649437687835466, 48.0915116493327], [-1.649457698543123, 48.09150259518652], [-1.64948384354813, 48.091482258533986], [-1.649506668670673, 48.09147310855125], [-1.649531323688547, 48.09146857815273], [-1.649568588634394, 48.09146731127705], [-1.64962880912692, 48.09147633844922], [-1.649683819608287, 48.09148932385631], [-1.649746224548415, 48.09150944022969], [-1.649771798466442, 48.091518835407655], [-1.649797568508355, 48.09152903359877], [-1.649819266470324, 48.09154225107272], [-1.649849064520049, 48.09155240253761], [-1.649874555161814, 48.09155891857708], [-1.649900972301052, 48.0915599114851], [-1.649901245443036, 48.09158304141966], [-1.649778109907725, 48.09158263722689], [-1.649315023438637, 48.09157425460741], [-1.648993379333461, 48.09156844436396], [-1.648990080213758, 48.09154262553634]]]]}";0;;;236;LES DOUANES;;;0427AJEUX01;;Equipe 42;500;OUI;0427;7;42;109
48.122975816, -1.68637489426;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.686416521043167, 48.12312168929403], [-1.686362752944681, 48.12306221766155], [-1.686265769558347, 48.12310408060088], [-1.686222390213176, 48.12305559685106], [-1.686208812700751, 48.123050390401474], [-1.686197555967121, 48.12305266745491], [-1.686100482474435, 48.12309336252018], [-1.686048815842908, 48.12303498914714], [-1.686209697553476, 48.12296878602884], [-1.68623925757673, 48.12289988352047], [-1.686392874906363, 48.122837170445194], [-1.686526515467584, 48.12283852872581], [-1.686529523148144, 48.122851480813985], [-1.686537367323609, 48.122860845957284], [-1.686546070735395, 48.122867389951054], [-1.686559712941515, 48.122871694447724], [-1.686571240431922, 48.12287472088504], [-1.686582611063681, 48.12287568123237], [-1.686643203794781, 48.12287846442761], [-1.686645038103096, 48.12290946517916], [-1.686591951078322, 48.12290813412738], [-1.686583741459552, 48.122911567482085], [-1.686581557939064, 48.12291992566012], [-1.686586658805026, 48.12293739786236], [-1.68658782044743, 48.122952575149945], [-1.686585080937818, 48.12296599481649], [-1.686582431346195, 48.12298058131984], [-1.686576370100742, 48.1229997870117], [-1.686567959728755, 48.12301466233203], [-1.686551667356315, 48.12303547977154], [-1.686527360789524, 48.12306053356478], [-1.686520255167917, 48.12306608902009], [-1.686495347118028, 48.12304110248926], [-1.686497649277143, 48.12303427131296], [-1.68648399562344, 48.12303158831437], [-1.686480951419402, 48.123042766795564], [-1.686515479419034, 48.12308101896819], [-1.686416521043167, 48.12312168929403]]]]}";0;;;123;GROUPE SCOLAIRE JOSEPH LOTTE;;;0305AJEUX01;;Equipe 27;500;NON;0305;4;27;16
48.1173086268, -1.70565728241;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.705529424849512, 48.11741119074537], [-1.705540353044496, 48.11734166395559], [-1.705543127909523, 48.117292046147774], [-1.705546135806404, 48.11727519516926], [-1.70554948206154, 48.11726274480066], [-1.705557585280834, 48.11725445205611], [-1.705566982150372, 48.117248995279226], [-1.705610426293757, 48.11723516269468], [-1.705652129344841, 48.1172249011867], [-1.70565603447698, 48.117219724997646], [-1.705657958921675, 48.11721677716593], [-1.705659821776056, 48.11721302177161], [-1.705653898283123, 48.11720593197145], [-1.705647958555424, 48.11720037469406], [-1.705655180278592, 48.11716663148921], [-1.705694758314972, 48.11717247025147], [-1.705722542267137, 48.11717880515241], [-1.705749455992629, 48.11718958290616], [-1.705767591137416, 48.117199852139855], [-1.705781031691322, 48.11721901804681], [-1.705806493398487, 48.1173106103006], [-1.705739046450852, 48.117351562313324], [-1.705722518788318, 48.11734997150265], [-1.705708714026399, 48.11735404887717], [-1.705693438175978, 48.1173670000428], [-1.705646759696784, 48.11743847998943], [-1.705632109087337, 48.117445557464265], [-1.705615967649982, 48.11744899515268], [-1.705590005899777, 48.11745061079218], [-1.705563485170632, 48.11744495134525], [-1.705545570511979, 48.11743755565297], [-1.705532634143172, 48.11742494616877], [-1.705529424849512, 48.11741119074537]]]]}";0;;;70;SQUARE DE PROVENCE;;;0351AJEUX01;http://web-bdu/PhotoJardin/thematique/aire_de_jeux/035101.jpg;Equipe 13;500;OUI;0351;10;13;242
48.1179934645, -1.68109633397;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.680989588780796, 48.11799097720775], [-1.680989532476765, 48.11791102615848], [-1.680999276883388, 48.11789952735341], [-1.681016532416426, 48.11788777145896], [-1.681023816228116, 48.11788455097459], [-1.681037279735454, 48.11788300904315], [-1.681077055703812, 48.117849232325284], [-1.681095267680462, 48.117842334830684], [-1.681120198012807, 48.11784479815234], [-1.681144721211098, 48.117847268130056], [-1.681137873071168, 48.11785327143119], [-1.681137166621249, 48.117863380522955], [-1.681145376132841, 48.11787228326637], [-1.681167200227237, 48.11788161937825], [-1.681183061739984, 48.1178709915827], [-1.681211838195651, 48.11787099607122], [-1.681231094953268, 48.117885462882256], [-1.68122785297666, 48.11790286127019], [-1.681210364687602, 48.11791156391634], [-1.681195420012138, 48.11791306614296], [-1.681181506489971, 48.1179104814631], [-1.681169127910748, 48.117906853928034], [-1.681155574622731, 48.11792658684236], [-1.681181958565799, 48.11793576706997], [-1.681186829443562, 48.11798016843583], [-1.681209090096725, 48.118012810215845], [-1.681160282939045, 48.118028708726726], [-1.68123863070382, 48.118123175288936], [-1.68120635549266, 48.11813544531015], [-1.680960629022724, 48.11808714020569], [-1.68096224567029, 48.118067816612424], [-1.680971839042154, 48.11805434249417], [-1.680990575721089, 48.118042625434164], [-1.680990658748199, 48.118024344636844], [-1.680968443878888, 48.11800988916741], [-1.680989588780796, 48.11799097720775]]]]}";0;;;126;ECOLE MATERNELLE DOCTEUR TANNOU;;;0318AJEUX02;;Equipe 27;500;NON;0318;1;27;90
48.1133431425, -1.68976857245;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.68973156610797, 48.11317430170838], [-1.689752251572604, 48.11317052951909], [-1.689769640067048, 48.11317110345678], [-1.689782843434893, 48.11317497214059], [-1.689803525814376, 48.11318344578292], [-1.689828196019615, 48.11319484388253], [-1.68985845458079, 48.11320722059699], [-1.689880219206481, 48.113217547765785], [-1.689900186830337, 48.11322721654586], [-1.689927209024066, 48.11325879305982], [-1.689902664028585, 48.113271881304314], [-1.689893164332024, 48.11327950085875], [-1.689886718874384, 48.11329016584899], [-1.689895204576846, 48.113341286891874], [-1.689897222650971, 48.1133553533835], [-1.689904549033567, 48.113368517641604], [-1.689912488791393, 48.1133756286375], [-1.689925929124832, 48.113384350786305], [-1.689941150561995, 48.113391751386594], [-1.689945358002229, 48.11344671072862], [-1.689749007840428, 48.113486496718856], [-1.689722590567059, 48.11348740385215], [-1.689705152938305, 48.113486202050225], [-1.689688424623956, 48.11348371520711], [-1.689672632964288, 48.11347939520375], [-1.689656416612682, 48.113471307972176], [-1.689638279158492, 48.11346094636307], [-1.689620983746032, 48.11344929430007], [-1.689609709202341, 48.11343374459021], [-1.689597730369832, 48.113421280976596], [-1.689588759347202, 48.113411233941825], [-1.689608144864916, 48.11335357419259], [-1.68961340855239, 48.11335033187878], [-1.689623432190377, 48.11333900375093], [-1.689635304066312, 48.11331491570196], [-1.689679625519438, 48.11322470554063], [-1.689689859550582, 48.11320382545728], [-1.689700818367937, 48.113190663321184], [-1.689716476642148, 48.11318094177898], [-1.68973156610797, 48.11317430170838]]]]}";1994;;;12;SQUARE GUY HOUIST;;;0403AJEUX02;http://web-bdu/PhotoJardin/thematique/aire_de_jeux/040301.jpg;Equipe 16;500;OUI;0403;3;16;67
48.0890509627, -1.64632228525;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.646251212183707, 48.08910035392101], [-1.646253234245026, 48.08907912618675], [-1.646206697692879, 48.08907683555365], [-1.646214967454544, 48.089004975392136], [-1.646363849266418, 48.089013601572866], [-1.646365643699997, 48.08900534743715], [-1.646442821898315, 48.08901118836441], [-1.64643883856578, 48.08905445143875], [-1.646423738073885, 48.08905379412217], [-1.646421732058628, 48.08907169000779], [-1.646397067065991, 48.08909737878925], [-1.646332057771285, 48.08909427527005], [-1.646330426562159, 48.08910468534164], [-1.646251212183707, 48.08910035392101]]]]}";0;;;186;PARC DES HAUTES OURMES;;;0325AJEUX01;;Equipe 09;500;OUI;0325;11;9;277
48.1242451435, -1.70538519186;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.705283207503856, 48.12433513208782], [-1.705258523487581, 48.12424144173008], [-1.705254066633281, 48.12422718948099], [-1.705258470519766, 48.124219744707474], [-1.705286507420195, 48.12419608838416], [-1.705314903238777, 48.124177102144664], [-1.705488959759968, 48.124161829627326], [-1.705494792430035, 48.124172973581324], [-1.705522122037105, 48.12424334263494], [-1.705523874923463, 48.124253906504414], [-1.705518636030197, 48.12426273078343], [-1.705439674660945, 48.12431146203932], [-1.705375323308202, 48.12432457456385], [-1.705283207503856, 48.12433513208782]]]]}";0;;;88;SQUARE DE SAVOIE;;;0363AJEUX02;http://web-bdu/PhotoJardin/thematique/aire_de_jeux/036301.jpg;Equipe 13;500;OUI;0363;10;13;62
48.0848294342, -1.65334167388;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.652963093026179, 48.08491334171078], [-1.6529683901126, 48.0847487285023], [-1.652967149072119, 48.08474852194637], [-1.652967713340868, 48.08472561122684], [-1.653149986810745, 48.084728141147515], [-1.653151565887101, 48.08474897554395], [-1.653675935029692, 48.08475642568283], [-1.653702184252177, 48.08476057359445], [-1.653717686231532, 48.08476652901886], [-1.653738626764262, 48.08478751559414], [-1.653772509881658, 48.084920698273216], [-1.653771453811597, 48.084935140917146], [-1.653763536743775, 48.084944143250695], [-1.653752043789118, 48.084950297057105], [-1.65373843038079, 48.08495508241346], [-1.653625139761184, 48.084953176907725], [-1.653624990869939, 48.08492283966246], [-1.653653923584582, 48.0849233855063], [-1.653655252927121, 48.08488066186816], [-1.653116862495668, 48.084872608810464], [-1.653117830764772, 48.08491552413259], [-1.653144897664745, 48.08491451292418], [-1.653147173465666, 48.084946308462584], [-1.652962410807996, 48.08494107338043], [-1.652963093026179, 48.08491334171078]]]]}";0;;;192;GS VOLGA;;;0332AJEUX01;;Equipe 09;500;NON;0332;11;9;206
48.1005673905, -1.70825034572;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.708271654945255, 48.10068896934525], [-1.708107770291227, 48.10059422864482], [-1.708111072992644, 48.10056025984573], [-1.708145115483747, 48.100523969669084], [-1.708151809697897, 48.100483400187855], [-1.708211246090163, 48.100450465500536], [-1.708223310515529, 48.100455271638864], [-1.708235436635474, 48.10046088623766], [-1.708268039207257, 48.1004618325077], [-1.708295752873228, 48.10046735924563], [-1.708310068663639, 48.10047523872334], [-1.708320796369326, 48.100481891885664], [-1.708329041692813, 48.10048773030321], [-1.708337927526079, 48.10049489683711], [-1.708349591767089, 48.10050673981129], [-1.708361606078103, 48.100528385913194], [-1.708367053215592, 48.100536301529154], [-1.708368081827369, 48.10055841560625], [-1.708369834573908, 48.10056898038229], [-1.708370479722111, 48.10057562028406], [-1.708370902589062, 48.10058812192405], [-1.708370101792332, 48.10059868405778], [-1.708368575703198, 48.100608551415], [-1.708366336609005, 48.10061790281097], [-1.708363355907241, 48.100628090163596], [-1.708359276269153, 48.10063795487824], [-1.70835499822955, 48.10064701673022], [-1.708345831267576, 48.10066065906113], [-1.708313874063178, 48.1006821102071], [-1.708296191910799, 48.100674166759426], [-1.708271654945255, 48.10068896934525]]]]}";0;;;145;CITE MILLION OUEST;;;0281AJEUX01;;Equipe 12;500;OUI;0281;9;12;234
48.0921552078, -1.63434179566;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.634355921991818, 48.092035860507984], [-1.634394566282045, 48.09202257615132], [-1.634535901095709, 48.092201823791896], [-1.634290448414494, 48.09228847072297], [-1.634147136146284, 48.09210793925054], [-1.634355921991818, 48.092035860507984]]]]}";0;;;280;ILOT KERAUTRET BOTMEL;;;0748AJEUX01;;Equipe 33;500;OUI;0748;7;33;185
48.1072212679, -1.66865200774;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.668665345179069, 48.10729109064863], [-1.668519153280139, 48.10728500935502], [-1.668518686514296, 48.10729123757315], [-1.668407468562625, 48.10728189151746], [-1.668419534226102, 48.10721611196142], [-1.668421258334712, 48.107198566627986], [-1.668426869350157, 48.10718002637533], [-1.668442544564535, 48.10709278456636], [-1.668486297665946, 48.107102620946506], [-1.668608588455468, 48.107131354316806], [-1.668928516526081, 48.107207369503186], [-1.668910265558855, 48.10732081006494], [-1.668666132116322, 48.107301418282724], [-1.668665345179069, 48.10729109064863]]]]}";0;;;134;CRECHE ALAIN GERBAULT;;;0538AJEUX01;http://web-bdu/PhotoJardin/thematique/aire_de_jeux/053801.jpg;Equipe 05;500;NON;0538;2;5;146
48.1178432316, -1.681818431;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.681878489304871, 48.117898847276614], [-1.681844162012102, 48.11787193123243], [-1.68183425456701, 48.11787425208466], [-1.681823566032935, 48.11787515850902], [-1.681812627556735, 48.117874542377564], [-1.68180239739178, 48.117872642208646], [-1.681792029666799, 48.11786894548686], [-1.681783241223202, 48.11786303449984], [-1.68177875916981, 48.117857155435914], [-1.681774100756878, 48.117850742005075], [-1.68177082673467, 48.1178466222189], [-1.681757916503859, 48.11783427955611], [-1.681748035746288, 48.117828135505945], [-1.681738359236642, 48.117824685467106], [-1.681730790308483, 48.11782242374515], [-1.681753670061218, 48.11779804986156], [-1.681757407839025, 48.117799452044295], [-1.681764284221933, 48.11780146713138], [-1.681772272718574, 48.11780218444523], [-1.681779381371355, 48.11780194098896], [-1.681784958502645, 48.11780102911165], [-1.681808178709921, 48.117811038138], [-1.681820149456179, 48.11781107790443], [-1.681829499845918, 48.11781201820035], [-1.681844003137643, 48.11781530325617], [-1.681858215547124, 48.117820038270715], [-1.68186953639182, 48.11783621753758], [-1.681871374179762, 48.11784443802329], [-1.681868054163628, 48.11785553568598], [-1.681864260400628, 48.11786043791328], [-1.681904909942059, 48.117878583181685], [-1.681911157860332, 48.11788116088917], [-1.681878489304871, 48.117898847276614]]]]}";0;;;128;SQUARE TANNOU;;;0615AJEUX01;http://web-bdu/PhotoJardin/thematique/aire_de_jeux/061502.jpg;Equipe 27;500;OUI;0615;1;27;294
